,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_160,41,59,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,55,383,0,0,0,0,0,0
ASV_161,32,0,0,0,0,12,26,38,58,0,0,0,0,0,0,75,25,92,106,60,0,0,0,0,147,82,55
ASV_162,0,0,0,0,0,0,61,117,145,0,0,0,0,0,0,50,33,0,25,0,0,0,0,65,101,149,62
ASV_163,0,24,0,0,12,14,30,53,50,0,0,0,0,0,0,30,94,79,20,9,0,18,0,0,35,141,198
ASV_164,0,0,0,0,0,0,90,44,118,0,0,0,0,0,0,141,94,120,0,0,0,0,0,0,140,35,24
ASV_165,54,19,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,134,399,0,34,0,0,0
ASV_166,36,60,0,0,0,0,0,118,0,0,0,0,0,0,0,19,94,100,107,0,0,0,0,0,66,13,184
ASV_167,170,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,12,0,0,0,0,0,0
ASV_168,0,73,0,0,0,0,25,133,60,0,0,0,0,0,0,0,47,156,88,0,0,0,0,0,41,66,104
ASV_169,414,66,17,0,0,0,0,0,0,9,7,9,0,0,0,0,0,0,7,123,140,0,0,0,0,0,0
ASV_170,38,46,270,0,0,0,0,0,0,80,73,57,0,0,0,0,0,0,25,101,84,0,0,0,0,0,3
ASV_171,138,29,32,0,7,0,0,0,5,39,136,10,0,0,0,0,0,5,6,329,40,0,0,0,0,0,0
ASV_172,21,417,40,0,0,0,0,66,0,0,0,0,0,0,0,54,49,0,91,0,0,0,0,0,14,0,19
ASV_173,0,234,26,0,0,0,0,0,0,0,0,0,0,0,0,0,129,99,69,16,0,0,0,0,38,29,126
